,source,target,TS label,TS chiral?,
353,0201100300,0010200301,0200300011,yes,,,,,,,
354,0010020103,1003012000,0010020103,yes,,,,,,,
355,0010020103,0102003100,0020100013,yes,,,,,,,
356,0010020103,0103201000,0100010023,yes,,,,,,,
357,0001031002,0002003011,0001031002,yes,,,,,,,
358,0001031002,0013012000,0013012000,yes,,,,,,,
359,0001031002,0000012301,0000012301,yes,,,,,,,
360,0001021003,0003002011,0001021003,yes,,,,,,,
361,0001021003,0012013000,0012013000,yes,,,,,,,
362,0001021003,0000013201,0000013201,yes,,,,,,,
363,0000130021,0001203100,0000130021,yes,,,,,,,
364,0000130021,1002003100,0130020001,yes,,,,,,,
365,0000130021,0002001310,0002001310,yes,,,,,,,
366,0030201001,0203001001,0030201001,yes,,,,,,,
367,0030201001,0010201300,0010201300,yes,,,,,,,
368,0030201001,0011023000,1000030201,yes,,,,,,,
369,0201000310,0010200130,0010200130,yes,,,,,,,
370,0201000310,0010021300,1000310200,yes,,,,,,,
371,0201000310,0000201301,0201300001,yes,,,,,,,
372,0003210010,0000101230,0003210010,yes,,,,,,,
373,0003210010,0001001230,1001230000,yes,,,,,,,
374,0003210010,0001000123,0001000123,yes,,,,,,,
375,0002001301,0001030021,0002001301,yes,,,,,,,
376,0002001301,0021000310,0310021000,yes,,,,,,,
377,0002001301,0000311002,0000311002,yes,,,,,,,
378,0001100023,0003200110,0001100023,yes,,,,,,,
379,0001100023,0113002000,1100020003,yes,,,,,,,
380,0001100023,0002003011,0002003011,yes,,,,,,,
381,0012001003,0021003001,0012001003,yes,,,,,,,
382,0012001003,0010023100,0010023100,yes,,,,,,,
383,0012001003,0013001002,1000012003,yes,,,,,,,
384,0000120310,0000132100,0000120310,yes,,,,,,,
385,0000120310,0001302100,0120310000,yes,,,,,,,
386,0000120310,0001300210,0001300210,yes,,,,,,,
387,0012000130,0021000310,0012000130,yes,,,,,,,
388,0012000130,0020103100,2000130010,yes,,,,,,,
389,0012000130,0001003102,0130012000,yes,,,,,,,
390,0002003110,0000110023,0002003110,yes,,,,,,,
391,0002003110,0001130020,1130020000,yes,,,,,,,
392,0002003110,0000001132,0001130002,yes,,,,,,,
393,0100300210,0100120300,0100300210,yes,,,,,,,
394,0100300210,0011200300,0300210100,yes,,,,,,,
395,0100300210,0030101200,0101200030,yes,,,,,,,
396,0302001100,0010020301,0020300011,yes,,,,,,,
397,0302001100,0020030110,0110020030,yes,,,,,,,
398,0302001100,0000300112,0300110002,yes,,,,,,,
399,0001012300,0000031012,0001012300,yes,,,,,,,
400,0001012300,0000321010,0321010000,yes,,,,,,,
401,0001012300,0000320101,0000320101,yes,,,,,,,
