,id,chiral?,enantiomer,
536,0003000211,yes,0000213001,,,,,
537,0010203100,yes,0013100200,,,,,
538,0021000031,yes,0020031001,,,,,
539,0000230011,yes,0000010231,,,,,
540,0011003002,yes,0013001002,,,,,
541,0312001000,yes,0311002000,,,,,
542,0031001002,no,,,,,,
543,0000012310,yes,0002310010,,,,,
544,0002010301,yes,0000302011,,,,,
545,0100302010,yes,0102010300,,,,,
546,0100200301,yes,0100300201,,,,,
547,0000010132,yes,0000130012,,,,,
548,0010132000,yes,0012000130,,,,,
549,0013010200,yes,0010203010,,,,,
550,0003100102,yes,0000103102,,,,,
551,0010030210,yes,0010210030,,,,,
552,0003120010,yes,0000013120,,,,,
553,0000310210,yes,0000210310,,,,,
554,0021000130,yes,0020131000,,,,,
555,0000020311,yes,0000310021,,,,,
556,0000321010,yes,0001010320,,,,,
557,0003010210,yes,0000213010,,,,,
558,0000320110,yes,0000110320,,,,,
559,0000031102,yes,0001100032,,,,,
560,0023010100,yes,0020103010,,,,,
561,0000101023,yes,0001020103,,,,,
562,0001030120,yes,0000121030,,,,,
563,0002100310,yes,0000312100,,,,,
564,0000103210,yes,0003210100,,,,,
565,0010032100,yes,0012100030,,,,,
566,0012003100,yes,0013102000,,,,,
567,0101000320,yes,0100321000,,,,,
568,0013000210,yes,0010213000,,,,,
569,0001030102,yes,0000101032,,,,,
570,0010023100,yes,0013100020,,,,,
571,0012103000,yes,0013002100,,,,,
572,0000002113,no,,,,,,
573,0101002030,yes,0102031000,,,,,
574,1103002000,yes,1102003000,,,,,
575,0010010023,no,,,,,,
576,0011000302,yes,0010301002,,,,,
577,0032011000,yes,0031002010,,,,,
578,0003002110,yes,0002113000,,,,,
579,0020103001,yes,0023000101,,,,,
580,0000101032,yes,0001030102,,,,,
581,0010102030,yes,0012030100,,,,,
582,0000100312,yes,0000310102,,,,,
583,0100301002,yes,0101000302,,,,,
584,0000112030,yes,0002030110,,,,,
585,0103001002,yes,0101003002,,,,,
586,0001020130,yes,0000131020,,,,,
587,0023101000,yes,0021003100,,,,,
588,0021030100,yes,0020101030,,,,,
589,0000130120,yes,0000120130,,,,,
590,0010200130,yes,0010130200,,,,,
591,0000110302,yes,0000300112,,,,,
592,0000011302,yes,0001300012,,,,,
593,0020301100,yes,0021100300,,,,,
594,0001103020,yes,0003021100,,,,,
595,0003100201,yes,0000203101,,,,,
596,0000103012,yes,0003010102,,,,,
597,0030121000,yes,0031000120,,,,,
598,0001210030,yes,0000031210,,,,,
599,0011200300,yes,0010301200,,,,,
600,0001321000,yes,0001001320,,,,,
601,0101000203,yes,0100201003,,,,,
602,0001003012,yes,0003011002,,,,,
603,0000300211,yes,0000210301,,,,,
604,0101003020,yes,0103021000,,,,,
605,0030201010,yes,0031010200,,,,,
606,0000211003,yes,0001000213,,,,,
607,0001023001,yes,0003001021,,,,,
608,0002130100,yes,0000102130,,,,,
609,0010020031,yes,0010030021,,,,,
610,0203001010,yes,0201013000,,,,,
611,0020100301,yes,0020300101,,,,,
612,0201301000,yes,0201001300,,,,,
613,0100100230,no,,,,,,
614,0102000310,yes,0100312000,,,,,
615,0003101002,yes,0001003102,,,,,
616,0000130201,yes,0000200131,,,,,
617,0001200013,yes,0000011203,,,,,
618,0110302000,yes,0112000300,,,,,
619,0000013102,yes,0003100012,,,,,
620,0001130020,yes,0000021130,,,,,
621,0001012003,yes,0002001013,,,,,
622,0013001002,yes,0011003002,,,,,
623,0031102000,yes,0032001100,,,,,
624,0012300100,yes,0010102300,,,,,
625,1003002010,yes,1002013000,,,,,
626,0002000131,yes,0000132001,,,,,
627,0001013002,yes,0003001012,,,,,
628,0001020310,yes,0000311020,,,,,
629,0003121000,yes,0001003120,,,,,
630,0301012000,yes,0302001010,,,,,
631,0023001100,yes,0021103000,,,,,
632,0010030120,yes,0010120030,,,,,
633,0000012103,yes,0002100013,,,,,
634,0001120030,yes,0000031120,,,,,
635,0100203010,yes,0103010200,,,,,
636,0001003210,yes,0003211000,,,,,
637,0003021010,yes,0001013020,,,,,
638,0010310200,yes,0010200310,,,,,
639,0010021300,yes,0011300020,,,,,
640,0103002010,yes,0102013000,,,,,
641,0100321000,yes,0101000320,,,,,
642,0000110230,yes,0000230110,,,,,
643,0100200130,yes,0100130200,,,,,
644,0000213100,yes,0003100210,,,,,
645,0012001300,yes,0011302000,,,,,
646,0000103120,yes,0003120100,,,,,
647,0003021001,yes,0001003021,,,,,
648,0020100031,yes,0020030101,,,,,
649,0010021003,yes,0011000023,,,,,
650,0010013020,no,,,,,,
651,0031010200,yes,0030201010,,,,,
652,0003001201,yes,0001203001,,,,,
653,0032101000,yes,0031002100,,,,,
654,0013001200,yes,0011203000,,,,,
655,0010200310,yes,0010310200,,,,,
656,0012000103,yes,0010102003,,,,,
657,0003011200,yes,0001203010,,,,,
658,0000020131,yes,0000130021,,,,,
659,1001003020,no,,,,,,
660,0103002100,yes,0102103000,,,,,
661,0000112003,yes,0002000113,,,,,
662,0100120300,yes,0100300120,,,,,
663,0001300012,yes,0000011302,,,,,
664,0001003021,yes,0003021001,,,,,
665,0010321000,yes,0011000320,,,,,
666,0003011020,yes,0001023010,,,,,
667,0302001010,yes,0301012000,,,,,
